"f <N> <-'en; de; -'s; de> 1. (letter) f 2. (muzieknoot) [G-muz] f, fa "
"f-sleutel <N> <-s; de> f-vqti, fa-vqti, bassivqti "
"formeel <A> <adv; -er/-st> 1. (qua vorm) formaalne, vormiline a. een formeel bezwaar vormiline viga/etteheide b. formeel heeft u gelijk vormiliselt on teil qigus 2. (vormelijk) formaalne, << (jahedalt asjalik) ametlik a. zich formeel gedragen/opstellen formaalse kxitumisega/suhtumisega olema b. een formele bedoening/benadering formaalne tegutsemine/lxhenemine 3. (officieel) ametlik a. een formele bevestiging/verklaring ametlik kinnitus/deklaratsioon b. een formele beslissing/toezegging ametlik otsus/lubadus c. formeel protest aantekenen ametlikku protesti esitama "
"formeren <V> <h; optreflex> formeerima, moodustama, kujundama, looma "
"formering <N> <-en; de; f> related equivalent moodustamine, formeerimine, koostamine "
"formidabel <A> <adv; -er/-st> vxgev, aukartustxratav a. een formidabel geheugen/stemgeluid aukartustxratav mxlu/hxxlematerjal b. een formidabele prestatie vxgev saavutus c. een formidabel(e) huis/acteur vxgev maja/nxitleja d. iets formidabel (goed/snel) kunnen [mida] aukartustxratavalt (hxsti/kiiresti) teha oskama e. formidabel hoog/snel tohutult kqrge/kiire, >> (bijwoordelijk) aukartustxratava kqrgusega/kiirusega "
"formule 1 <N> <-s; de; f> 1. (tekencombinatie) valem 2. (vast geheel van woorden) vormel "
"formule 2 <N> <-; de; f> 1. (vaste manier van handelen) related equivalent kxitumismall, taktika "
"formule 3 <N> <-s; de; f> 1. (divisie in het autoracen) vormel a. formule 1 [gensport] vormel yks "
formuleren <V> <h> formuleerima, << (hrl. hoolikalt, sqnades) vxljendama, sqnastama a. aanbevelingen formuleren soovitused sqnastama 
"formulering <N> <-en; de; f> formuleering, sqnastus "
"formulewagen <N> <-s; de; m> vormel "
"formulier <N> <-en; het; n> vorm, formular, blankett, plank a. een formulier invullen vormi txitma b. een formulier (onder)tekenen vormile alla kirjutama  "
"fornuis <N> <-zen; het; n> pliit a. op een fornuis koken pliidil syya tegema b. achter het fornuis staan pliidi ees seisma "
"fors <A> <adv; -er/-st> >> (in gunstige zin) tubli, related equivalent tugev, related equivalent vqimas, related equivalent vxgev, related equivalent suur, related equivalent korralik, >> (ongunstig) paras, related equivalent mxrgatav, >> (van lichaamsbouw) turske a. een forse kerel/lichaamsbouw turske sell/kehaehitus b. een fors(e) bedrag/hoeveelheid korralik summa/hulk c. fors stijgen/dalen tugeva tqusu/languse lxbi tegema d. forse bezuinigingen/verliezen suured 'rahalised kxrped'/kahjumid "
"forsythia <N> <-'s; de; f> forsyytia "
"fort <N> <-en; het; n> fort "
forte <Adv> forte, << (forte) valjusti 
fortissimo <Adv> fortissimo, << (fortissimo) vxga valjusti 
"fortuin 1 <N> <-; het; n> 1. (goede lotsbeschikking) qnn, fortuuna 2. (groot kapitaal) << (rahaline) varandus a. een fortuin erven [gengeldw] varanduse pxranduseks saama b. een fortuin besteden aan iets [millele] terve varanduse kulutama c. fortuin maken suuri rahasid teenima "
"fortuin 2 <N> <-en; de; mf> 1. (het lot als beslissende factor) saatus a. het rad van fortuin qnneratas, loosiratas "
"fortuinlijk <A> <adv; -er/-st> qnnelik, qnnestunud a. een fortuinlijke afloop qnnelik lqpp "
"fortuinzoeker <N> <-s; de; m/f> qnneotsija "
"forum 1 <N> <-s; het; n; fora> 1. (groep deskundigen of discussiepartners) foorum 2. (bijeenkomst waar wordt gediscussieerd) foorum 3. (website) foorum "
"forum 2 <N> <fora; de; f> 1. (marktplaats) foorum "
"forumdiscussie <N> <-s; de; f> foorum "
"fosfaat <N> <-ten; het; n> fosfaat "
"fosfor <N> <-; de/het  n; mn> fosfor a. witte/rode fosfor [schei] valge/punane fosfor "
"fossiel <N> <-en; het; n> fossiil a. een levend fossiel [informal, jocular] elav fossiil "
"foto <N> <-'s; de; mf> 1. (fotografische opname) foto, << (fotograafliline) pilt a. een overbelichte/onderbelichte foto ylesxritatud/alasxritatud pilt b. een foto van haar moeder foto/pilt tema emast c. een foto maken/nemen pilti tegema d. een foto trekken [belg] pilti tegema e. op de foto staan pildi peal olema 2. (rîntgenopname) rcntgenfoto, rcntgenipilt "
"fotoalbum <N> <-s; het; n> fotoalbum "
"fotobijschrift <N> <-en; het; n> foto juurde kuuluv tekst "
"fotoboek <N> <-en; het; n> << (fotodega) pildiraamat "
"fotofinish <N> <-es; de; m> fotofinisw "
"fotogeniek <A> <nonadv; -er/-st> fotogeenne "
"fotograaf <N> <-fen; de; m/f> fotograaf "
"fotografe <N> <-s; de; f> << (naissoost) fotograaf "
fotograferen <V> <h> fotografeerima, pildistama 
"fotografie 1 <N> <-; de; f> 1. (de kunst van het foto's maken) fotograafia a. de fotografie als beeldende kunst fotograafia kui kujutav kunst "
"fotografie 2 <N> <-ân; de; f> 1. (foto) [formal, oldfash] foto, pilt "
"fotografisch <A> <adv; ncompar; attr> fotograafiline, >> (op foto's lijkend) fotolik a. een fotografisch geheugen fotograafiline mxlu "
"fotokopie <N> <-ân; de; f; -s> fotokoopia, koopia a. een fotokopie maken fotokopeerima, kopeerima b. een fotokopie van het geboortebewijs koopia synnitunnistusest c. stuur ik u een fotokopie of het origineel? kas ma peaksin teile saatma koopia vqi originaali? d. een gewaarmerkte fotokopie notariaalselt kinnitatud koopia e. een voor eensluidend verklaarde fotokopie notariaalselt kinnitatud koopia "
fotokopiâren <V> <h> fotokopeerima a. een brief/boek/bladzijde fotokopiâren kirjast/raamatust/lehekyljest fotokoopia valmistama 
"fotomateriaal <N> <-; het; n> fotomaterjal "
"fotomodel <N> <-len; het; m/f> fotomodell "
"fotomontage 1 <N> <-; de; f> 1. (het aan elkaar monteren van foto's) fotomontaazw "
"fotomontage 2 <N> <-s; de; f> 1. (samenstelling uit (delen van) foto's) fotomontaazw "
"foton <N> <-en; het; n> [nat] footon "
"fotoredactie 1 <N> <-s; de; f> 1. (groep journalisten die foto's kiest) fototoimetus "
"fotoredactie 2 <N> <-; de; f> 1. (redactioneel werk wat de foto's betreft) fototoimetus "
"fotoreportage <N> <-s; de; f> fotoreportaazw "
"fotoserie <N> <-s; de; f> fotoseeria, fotosari "
"fotosessie <N> <-s; de; f> pildistamine "
"fotosfeer <N> <-; de; mf> [nat] fotosfxxr "
"fotosynthese <N> <-; de; f> fotosyntees "
"fototoestel <N> <-len; het; n> fotoaparaat a. de sluiter van een fototoestel fotoaparaadi katik "
"fotowerk <N> <-; het; n> fotolooming a. een tentoonstelling van zwart-wit fotowerk must-valge fotoloomingu nxitus "
fouilleren <V> <h> lxbi otsima, patsutama 
"foundation 1 <N> <-; de; f> 1. (onderkleding voor vrouwen) << (naiste) aluspesu "
"foundation 2 <N> <-s; de; f> 1. (crämevormige make-uponderlaag) jumestusvundament; aluskreem "
"fout 1 <N> <-en; de; mf> 1. (slechte eigenschap) viga a. iemand op zijn fouten wijzen [kellele] ta vigu kxtte nxitama 2. (verkeerde handelwijze) viga a. een grove/zware fout suur/rxnk viga b. een stomme/domme fout rumal viga c. een slordige fout lohakusviga d. een opzettelijke fout [gensport] meelega tehtud viga e. een menselijke fout inimlik viga f. een medische fout [genmed] meditsiiniline viga g. een opeenstapeling van fouten viga vea otsas h. fout op fout maken viga vea jxrel tegema i. de fout bij zichzelf zoeken enda juurest/kyljes viga otsima j. een fout begaan/maken viga tegema k. je fouten weer goedmaken vead jxlle heaks tegema l. iemand op een fout betrappen [keda] vea tegemiselt tabama m. deze fout is aan onoplettendheid te wijten selle vea eest vqlgneme txnu ettevaatamatusele n. een ieder moet van zijn fouten leren igayks peab oma vigadest qppima o. hij is weer in zijn oude fouten vervallen [kellel] on jxlle see vana viga kyljes p. in de fout gaan viga tegema 3. (onjuistheid) viga a. een grammaticale/stilistische fout grammatiline/stilistiline viga b. fouten maken vigu tegema c. zonder fouten schrijven vigadeta kirjutama d. een dictee vol fouten vigu txis etteytlus e. er is een fout in geslopen siia on viga sisse lipsanud f. een fout in de constructie/berekening/redenering konstruktsiooni/arvestuse/argumentatsiooniviga g. een weefsel met fouten defektidega kangas h. het hangt aan elkaar van de fouten see kubiseb vigadest 4. (afwijking in een waarde) viga, veaprotsent, vigade osakaal "
"fout 2 <A> <adv; periphras> 1. (onjuist) vale a. een fout antwoord vale vastus b. een foute beslissing/inschatting 'vale otsus'/valearvestus c. de sommen fout hebben tehted valesti lahendanud olema d. fout gaan/(af)lopen valesti minema "
"foutief <A> <adv; ncompar> vale, valesti a. een foutief antwoord vale vastus b. mijn naam is foutief gespeld minu nimi on valesti kirjutatud "
"foutloos <A> <adv; ncompar> veatu, veatult a. foutloos schrijven/spellen veatult kirjutama "
"foutmarge <N> <-enmarges; de; mf> lubatav vigade arv v. protsent "
"fox <N> <-en; de; m> foksterjer "
"foxtrot <N> <-s; de; m> fokstrott a. de foxtrot dansen fokstrotti tantsima "
"foyer <N> <-s; de; m> fuajee "
"fraai <A> <adv; -er/-st> kaunis, ilus, kena, related equivalent suurepxrane, >> (luxueus) peen a. een fraaie vertoning [jocular] << (irooniliselt) paras vaatamisvxxrsus, tqeline kurioosum b. een fraai heerschap [jocular] tore hxrra, lahe mees c. een fraaie prestatie suurepxrane saavutus d. iets fraai versieren [mida] kaunilt dekoreerima "
"fractie <N> <-s; de; f> 1. ((zeer klein) onderdeel van iets) murdosa, osake a. in een fractie van een seconde sekundi murdosa jooksul 2. (groepering in gekozen lichaam) fraktsioon "
"fractiecommissie <N> <-s; de; f> [pol] fraktsioonikomisjon "
"fractiegenoot <N> <-ten; de; m/f> kaasfraktsionxxr "
"fractieleider <N> <-s; de; m/f> fraktsiooniliider, fraktsiooni esimees "
"fractielid <N> <-eden; de; m/f> fraktsionxxr "
"fractiespecialist <N> <-en; de; m/f> [pol] fraktsioonispetsialist "
"fractievergadering <N> <-en; de; f> fraktsioonikoosolek "
"fractievoorzitter <N> <-s; de; m/f> fraktsiooniesimees "
"fractuur <N> <-ren; de; f> fraktuur, luumurd a. fracturen aan armen en benen kxe- ja jalaluumurrud b. een fractuur oplopen [mille] luu murdma c. een ernstige fractuur raske luumurd "
"fragiel <A> <nonadv; -er/-st> habras, qrn a. een fragiel evenwicht habras/qrn tasakaal "
"fragiliteit <N> <-en; de; f> haprus "
"fragment <N> <-en; het; n> 1. (kort onderdeel van tekst, muziek of film) lqik, katkend, katke, >> (van een kunstvoorwerp) fragment a. fragmenten uit een dagboek katkendid pxevikust 2. (brokstuk) fragment, katkend, osake, tykike a. een fragment van een zwaard mqqga katkend "
"fragmentatie <N> <-; de; f> lagunemine, fragmentatsioon, killustumine, killunemine "
"framboos <N> <-zen; de; mf> 1. (vrucht) vaarikas 2. (struik) vaarikas, vaarikapqqsas a. de frambozen snoeien vaarikapqqsaid pygama/kxrpima "
"frame <N> <-s; het; n> 1. (verstevigende constructie) raam 2. (onderdeel van een snookermatch) freim "
"Franáaise <N> <-s; de; f> prantslanna "
"franchise <N> <-s; de; f> 1. (prijsaftrek bij verhandelen goederen) [handel] frantsiis a. franchise genieten [handel] frantsiisi omama 2. (gedeelte van de verzekerde waarde) frantsiis, >> (eigen risico) omavastutus "
"franciscaan <N> <franiscanen; de; m> frantsisklane, frantsiskaan a. de orde der franciscanen [genrel] frantsiskaani ordu "
franco <Adv> franko, saatekuludeta a. wij leveren de goederen franco bij u af meie toimetame teile kaubad saatekuludeta (koju kxtte) 
"francofiel <N> <-en; de; mf> frankofiil "
"frangipane <N> <-s; de; f> [belg] frandzwipaan "
"franje <N> <-s; de; mf> 1. (versiering) narmad a. een gordijn met franjes narmastega kardin 2. (bijkomstigheid) related equivalent ilustis, related equivalent kaunistus, related equivalent potjomkini kyla, related equivalent ylespuhutus, butafooria, tarbetu ilutsev lisand, kribu-krabu, pudi-padi, tarbetu ja pinnapealne asjade ilustamine a. zonder veel /overbodige franje(s) liigse ylespuhutuseta b. ontdaan van alle franje << (petlikust kaunistusest) kqigest tarbetust vabastama c. franje en opsmuk << (yleliigne ilustamine) petlik ilu, tyhipaljas mukkimine ja yleslccmine "
"frank 1 <N> <-en; de; m; -s> 1. (bepaalde munteenheid) frank a. de Belgische/Zwitserse frank Belgia/Swveitsi frank b. elke frank in twee bijten [belg] igat/'iga viimsetki' kopikat nxpu vahel veeretama c. niet op een frank kijken mitte koonerdama "
"frank 2 <A> <adv; -er/-st> 1. (vrijmoedig) kammitsemata 2. (vrijpostig) [belg] ~~ (nahaalselt) (openhartig) otsekohene, >> (brutaal) hxbematu a. iemand frank de waarheid zeggen [belg] [kellele] tqde nxkku ytlema 1. frank en vrij vaba nagu lind, kqigest prii "
"frankeermachine <N> <-s; de; f> frankeerimismasin "
frankeren <V> <h> frankeerima 
"frankering 1 <N> <-; de; f> 1. (het frankeren) frankeerimine "
"frankering 2 <N> <-en; de; f> 1. (porto) postimaks a. onvoldoende frankering ebapiisav postikulude tasumine "
"Frankrijk <N> <-; het; n> Prantsusmaa a. leven als God in Frankrijk vanajumala selja taga elama, elama nagu kuninga kass "
"Frans 1 <N> <-; het; n> 1. (Romaanse taal) prantsuse keel a. Frans verstaan prantsuse keelest aru saama b. Frans spreken prantsuse keelt rxxkima, >> (beheersen) prantsuse keelt oskama c. vertalen in/naar het Frans prantsuse keelde tqlkima d. vertalen uit het Frans prantsuse keelest tqlkima e. het Frans van Voltaire Voltaire'i prantsuse keel f. daar is geen woord Frans bij see on selge jutt "
"Frans 2 <A> <nonadv; ncompar> 1. (van Frankrijk) prantsuse a. Frans stokbrood prantsuse baguette b. de Franse keuken Prantsuse kcck c. een Franse lelie prantsuse liilia d. de Franse tuin prantsuse aed e. de Franse frank Prantsuse frank f. de Franse Revolutie (Suur) Prantsuse revolutsioon g. de Franse ziekte [oldfash] kuritqbi h. met de Franse slag umbropsu "
"Frans-Guyana <N> <-; het; n> Prantsuse Guyana a. de ruimtevaartbasis van de ESA in Frans-Guyana "
"Frans-Polynesiâ <N> <-; het; n> Prantsuse Polyneesia "
"Franse <N> <-; de; f> [informal] << (naissoost) prantslane, prantslanna "
"franskiljon <N> <-s; de; m> franskiljon, prantsusemeelne flaamlane, prantsuse keele pooldaja Belgias "
"Fransman <N> <Fransen; de; m> << (meessoost) prantslane "
"Franstalige <N> <franstaligen; de; m/f> prantsuskeelne a. de Franstaligen in Vlaanderen prantsuskeelne elanikkond Flandrias "
"frappant <A> <adv; -er/-st> jahmatamapanev, rabav, >> (schokkend) vapustav, >> (heel sterk) jalustrabav, >> (verbazingwekkend) hxmmastav, frapantne a. een frappant detail hxmmastav detail b. een frappante gelijkenis rabav sarnasus "
frapperen <V> <h> << (asjade kohta) yllatama, vapustama, rabama, frapeerima, hxmmastama, pqrpima 
"frase <N> <-n; de; f; -s> 1. (volzin) fraas 2. (nietszeggende volzin) fraas, sqnakqlks, tyhjad sqnad a. de geijkte frase harjumuspxrane tekst b. een holle frase tyhjad sqnad 3. (muzikale zin) [muz] fraas "
"frasering <N> <-en; de; f> [muz] fraseerimine, fraseering "
"frater <N> <-s; de; m> fraater "
"fratsen <N> <-; de; mf> vembud, tembud a. zonder fratsen ilma naljata b. fratsen uithalen vempe viskama c. gekke/rare fratsen tembutamine d. modieuze fratsen moekapriis, moenarrus "
"fraude <N> <-s; de; mf> kelmus, << (kirjalik, rahaline) pettus a. fraude plegen kelmuse sooritama b. fiscale fraude maksukelmus c. schuldig aan fraude kelmuses syydi "
"fraudebestrijding <N> <-; de; f> kelmuse vastu vqitlemine "
frauderen <V> <h> kelmuse sooritama a. voor miljoenen frauderen miljoneid kqrvaldama 
"fraudeur <N> <-s; de; m/f> petis, pettur, finantskurjategija, majanduskurjategija a. een fiscale fraudeur finantskurjategija "
"freak <N> <-s; de; m/f> 1. (fanatiek iemand) [informal, neolog] fanaatik 2. (onaangepast persoon) [informal, offens, neolog] veidrik "
"freelance <A> <adv; ncompar; nondeclin> vabakutseline a. freelance werken vabakutselisena/vabakutseliselt tcctama "
"freelancer <N> <--lancers; -s; de; m/f> vabakutseline "
"frees <N> <-zen; de; mf> frees "
"freesblad <N> <-en; het; n> << (freesi) lqiketera "
freewheelen <V> <h> 1. (rustig aan doen) laisklema, jqude olema 2. (fietsen zonder te trappen) vabajooksul sqitma, vabakxigul sqitma, allamxge sqitma 
"fregat <N> <-ten; het; n> 1. (kleine oorlogsboot) miiniristleja, fregatt 2. (opgetuigde driemaster) [scheep] fregatt "
"fràle <A> <adv; -er/-st; nondeclin> habras "
"frenetiek <A> <adv; -er/-st> [rare] hullumeelne, pccrane a. een frenetiek ritme pccrane rytm "
"frequent <A> <adv; -er/-st> sage, sagedane, tihti a. een frequente bezoeker sage kylaline b. de meest frequente woorden kqige sagedased sqnad c. frequent voorkomend/gebruikt tihti esinev/kasutatav d. frequente contacten sagedased kontaktid/kokkupuuted "
"frequentie <N> <-s; de; f> 1. (aantal keren dat iets zich voordoet) sagedus a. toenemende/afnemende frequentie b. de frequentie van alcoholgebruik alkoholi tarvitamise sagedus c. de absolute/relatieve frequentie [wisk] absoluutne/suhteline sagedus 2. (aantal keren van beweging) sagedus a. de frequentie van de ademhaling hingamise sagedus 3. (aantal golven per seconde) sagedus a. de frequentie is 50 Hertz sagedus on 50 hertsi 4. (van een radiozender) sagedus, raadiosagedus a. uitzenden op een bepaalde frequentie levima teataval sagedusel "
"frequentiegebied <N> <-en; het; n> [nat] sagedusala "
"fresco <N> <-'s; het; n; fresci> fresko "
"fresia <N> <-'s; de; mf> freesia "
"fret <N> <-ten; het; n> 1. (marterachtige) valgetuhkur 2. (toonrichel bij snaarinstrumenten) frett a. de fretten van een gitaar "
"freule <N> <-s; de; f> aadlipreili "
frezen <V> <h> 1. (van ijzer, hout e.d.) freesima 2. (van grond) freesima 
"fricandeau <N> <-s; de; m> ~~ (lahja sea- vqi vasilkaliharoog) (ook van kip, konijn en lamsvlees) frikassee "
"frictie <N> <-s; de; f> 1. (onenigheid) hqqrumine, vastuolu 2. (wrijving) friktsioon 3. (koppeling) [informal] kxigukast "
friemelen <V> <h> nxperdama 
"Fries 1 <N> <-zen; de; m/f> 1. (inwoner van Friesland) friis, friislane a. een nuchtere Fries kaine mqistusega friis "
"Fries 2 <N> <-; het; n> 1. (taal van Friesland) friisi keel a. Fries spreken en schrijven friisi keeles oskama rxxkida ja kirjutada "
"Fries 3 <A> <nonadv; ncompar> 1. (van Friesland) friisi "
"fries <N> <-zen; de/het  n; mn> [bouwk] friis "
"Friesland <N> <-; het; n> Friisimaa "
"friet <N> <-en; de; mf> 1. (gerecht) friikartulid, friikad a. friet met friikartulid majoneesiga b. friet zonder friikartulid ilma majoneesita c. friet bakken friikartuleid frittima d. voorgebakken friet eelkypsetatud friikartulid e. een zakje friet tuutu friikartuleid f. een frietje halen friikartulid kaasa ostma 2. (gefrituurd reepje aardappel) friikartuli lqik "
"frietkot <N> <-ten; het; n> [belg] kiirtoitlustusettevqte, kus myyakse friikartuleid "
"frietkraam <N> <-men; de/het  n; mfn> kiirtoidu kiosk/myykla, kus myyakse friikartuleid "
"friettent <N> <-en; de; mf> kiirtoitlustuskiosk, kus myyakse friikartuleid "
"Friezin <N> <-nen; de; f> friislanna, << (naissoost) friis "
"frigide <A> <nonadv; periphras; nondeclin> frigiidne, sugukylm "
"frik <N> <-ken; de; m/f> [offens] qpetajalik isik "
"frikadel <N> <-len; de; mf> [belg] frikadell "
"frikandel <N> <-len; de> kotlet "
"fris 1 <N> <-; de/het  n; mn> 1. (frisdrank) karastusjook "
"fris 2 <A> <adv; -er/-st> 1. (schoon) vxrske, puhas a. een fris tafellaken puhas laudlina b. frisse kleuren puhtad vxrvid, selged vxrvid c. fris gewassen vxrskelt pestud d. lekker fris ruiken vxrske lqhnaga olema "
"fris 3 <A> <nonadv; -er/-st> 1. (koel) >> (koel) jahe, >> (koel) vilu, >> (verfrissend) vxrske, >> (verfrissend) vxrskendav a. fris water >> (koel) jahe vesi, vxrske vesi b. een frisse dronk/duik vxrskendav sqqm/suplus c. een frisse wind/bries vxrske tuul/briis d. lekker/heerlijk fris suurepxraselt vxrskendav e. het is fris vandaag [euphem] txna on jahe ilm, >> (het is frisjes buiten) txna on vxljas vilu f. fris weertje (vandaag)! [euphem] eufemistlikult kylma ilma kohta: on meil txna aga hea jahe ilm! 2. (vers) vxrske a. frisse lucht vxrske qhk b. niet fris (meer) ruiken [millel] ei ole (enam) vxrske lqhn "
"frisbee 1 <N> <-'s; de; mf; -s> 1. (werpschijf) lendav taldrik "
"frisbee 2 <N> <-; het; n> 1. (spel met een plastic werpschijf) mxng lendava taldrikuga "
"frisdrank <N> <-en; de; m> karastusjook a. een glas/fles frisdrank klaas/pudel karastusjooki "
"frisheid <N> <-; de; f> vxrskus "
frisjes <Adv> 1. (aan de koele kant) related equivalent kylmavqitu, related equivalent jahedavqitu a. het is nog frisjes buiten vxljas on veel jahedavqitu 2. (lichtgekleed) related equivalent qhukeselt (riides/riietatud), related equivalent (ysna) paljalt a. voor september liep ze er toch nogal frisjes bij septembri kohta kxis ta siiski ysna paljalt 
"friteuse <N> <-s; de; f> frityyripann "
frituren <V> <h> frittima 
"frituur 1 <N> <-; de; f> 1. (in vet gebakken gerechten) frityyr "
"frituur 2 <N> <-ren; de/het  n; fn> 1. (frietkraam) [belg] friikartuleid valmistav kiirtoitlustusasutus 2. (frituurinstallatie) frityyrivalmistamisseadmestik "
"frituurpan <N> <-nen; de; mf> frityyrpann "
"frituurvet <N> <-; het; n> frityyr "
"frivoliteit 1 <N> <-; de; f> 1. (eigenschap van lichtzinnigheid) frivoolsus "
"frivoliteit 2 <N> <-en; de; f> 1. (lichtzinnige handeling) frivoolsus "
"frivool <A> <adv; -er/-st> frivoolne, kergemeelne, nilbe a. frivool gedrag frivoolne kxitumine, nilbe kxitumine b. frivool ondergoed frivoolne aluspesu, sekspesu c. een frivool meisje frivoolne tytarlaps, kergemeelne tytarlaps "
frommelen <V> <h> 1. (wegmoffelen) << (lohakalt v. peites) pistma, ~~ (lohakalt v. peites) (met enige moeite) toppima, ~~ (lohakalt v. peites) (relatief diep) torkama, ~~ (kuhugi pannes, toppides) (verbergen) peitma a. een papier tussen zijn boeken frommelen paberi raamatute vahele peitma 2. (kreukelen) kxgardama, krxglutama a. een papier in elkaar frommelen paberi kokku kxgardama 
"frons <N> <-en; de; mf; -zen> kulmukortsutus a. een diepe frons << (otsaesisel) sygav korts b. een lichte frons kerge kulmukortsutus c. de frons in het voorhoofd korts otsaees d. de frons op het gezicht kulm kortsus e. met een frons tussen de wenkbrauwen kulm kortsus "
fronsen <V> <h> << (kulmu) kortsutama, kulmu kortsu tqmbama 
"front <N> <-en; het; n> 1. (voorzijde) front, esikylg 2. (scheiding tussen koude en warme lucht) front a. achter het koude/warme front kylma/sooja frondi taga 3. (strijdlinie) rinne, front a. aan het front rindel, frondil b. naar het front gaan rindele/frondile minema c. berichten van het front teated rindelt/frondilt d. een strijd op twee fronten vqitlus kahel rindel e. over een breed front laial rindel f. op alle fronten igal rindel 4. (organisatie die voor een zaak strijdt) front, rinne a. een nationaal front rahvuslik rinne "
"frontaal <A> <adv; -er/-st> frontaalne a. een frontale botsing/aanrijding esiotsaga kokkupqrge, otsasqit esiotsale b. (iemand) frontaal aanvallen [kellele] otserynnaku korraldama c. de frontale kwab frontaalsagar "
"frontlijn <N> <-en; de; mf> rindejoon, front "
"frontlinie <N> <-s; de; f> rindejoon, front a. door de frontlinie breken lxbi rindejoone murdma "
"froufrou <N> <--frous; -s; het; n> teatud vaniljekypsis "
"fruit <N> <-; het; n> 1. (vruchten) puuvili a. onrijp/rijp/rot fruit toores/kyps/mxdanenud puuvili b. vers fruit vxrske puuvili c. exotisch/tropisch fruit eksootiline/troopiline puuvili d. onbespoten fruit vxetamata puuvili e. Turks fruit tyrgi maiustus 2. (geur- of smaakcomponent van wijn) [cul] puuviljane aroom "
"fruitautomaat <N> <-ten; de; m> puuviljadega mxnguautomaat "
fruiten <V> <h> << (pruuniks) praadima, pruunistama a. fruit de ui pane sibul praadima 
"fruithandel 1 <N> <-; de; m> 1. (de handel in fruit) puuviljakaubandus "
"fruithandel 2 <N> <-s; de; m> 1. (winkel waar fruit wordt verkocht) puuviljakauplus "
"fruithandelaar <N> <-s; de; m/f; -ren> puuviljapoodnik, puuviljakaupmees "
fruitig <A> <adv> puuviljaline a. een fruitige wijn puuviljaline vein 
"fruitmand <N> <-en; de; mf> puuviljakorv "
"fruitteelt <N> <-en; de; m> puuviljakasvatus "
"fruitteler <N> <-s; de; m/f> puuviljakasvataja "
frunniken <V> <h> nxperdama a. frunniken aan iets [mille] kallal nxperdama 
"frustratie <N> <-s; de; f> 1. (gemoedstoestand onderdrukte verlangens) frustratsioon 2. (het frustreren, belemmeren) frustreerimine, frustratsioon "
frustreren <V> <h> frustreerima, lootust petma 
"frutsel <N> <-s; het; n> [informal] nipsasjake "
frutselen <V> <h> nxperdama a. frutselen aan iets [mille] kallal nxperdama 
"fuchsia 1 <N> <-'s; de; mf> 1. (soort sierplant) fuksia "
"fuchsia 2 <N> <-; het; n> 1. (paarsrode kleur) fuksiin "
"fuga <N> <-'s; de; mf> fuuga "
"fuif <N> <-ven; de; mf> [informal, belg] << (rohke muusika ja tantsuga) pidu, pralle "
"fuifnummer <N> <-s; het; mfn> [informal, genstud] peolqvi, tantsulqvi "
"fuik <N> <-; de; mf> rysa "
fuiven 1 <V> <h> 1. (trakteren) << (suurejooneliselt) vxlja tegema, kxristama a. hij heeft haar gefuifd op een etentje ta tegi talle lqunasccgi/qhtusccgi vxlja 
fuiven 2 <V> <h> 1. (feesten) [informal] pidu panema 
fulmineren <V> <h> karjuma/rcckima pistma a. fulmineren tegen iemand/iets [kelle] peale rcckima pistma 
"functie <N> <-s; de; f> 1. (taak of ambt) related equivalent amet, related equivalent tegevus, related equivalent funktsioneerimine, funktsioon, >> (taak) ylesanne, >> (taak) kohustus a. een tijdelijke functie ajutine kohustus b. een leidinggevende functie juhtiv positsioon c. een ambtelijke functie ametialane tegevus d. een hogere/lagere functie kqrgem/madalam positsioon, kqrgem/madalam ametipost e. een onbezoldigde functie tasustamata tcc f. een openbare functie avaliku teenistuse amet g. een administratieve/bestuurlijke/adviserende functie administratiivne/juhtimis-/nquandefunktsioon h. in functie zijn ametis olema i. in functie treden ametisse astuma j. een functie aanvaarden ametiposti vastu vqtma, ylesande enda peale vqtma k. een functie neerleggen ameti maha panema, ametist lahkuma l. de functie van voorzitter bekleden/uitoefenen esimehe ametis olema m. uit hoofde van zijn functie handelen oma ametikohustustele vastavalt kxituma n. iemand van zijn functie ontheffen [keda] ta ametist vabastama 2. (veranderlijke grootheid) [wisk] funktsioon a. een parabolische functie 3. (waarde van een taalteken als zinsdeel) [taalk] funktsioon "
"functie-inhoud <N> <-en; de; m> ametikohused, ametikohustuste kirjeldus "
"functieverandering <N> <-en; de; f> ametikohuste muutmine "
"functionaliteit <N> <-; de; f> funktsionaalsus, eesmxrgipxrasus "
"functionaris <N> <-sen; de; m/f> funktsionxxr, << (avalikul ametipostil) ametnik "
"functioneel <A> <adv; -er/-st> 1. (doelmatig) otstarbekohane, funktsionaalne a. functionele kleding funktsionaalne riietus b. een functioneel gebouw funktsionaalne hoone 2. (m.b.t. de functie(s)) funktsionaalne a. functionele stoornissen funktsionaalsed hxired "
functioneren <V> <h> funktsioneerima, tcctama, >> (in werking zijn) tegevuses olema, >> (van apparaten, machines) talitlema, funktsima, korras olema a. slecht/goed/perfect functioneren halvasti/hxsti/veatult funktsioneerima 
"functionering <N> <-; de; f> >> (van zaken) funktsioneerimine, << (van mensen) tegevus "
"functioneringsgesprek <N> <-ken; het; n> kqnelus, milles antakse hinnang tcctaja tccalasele tegevusele "
